abbreviation,expanded_form,category
(I) qsl,2nd Class Interpreter in a Modern Foreign Language,MILITARY QUALIFICATIONS
(L) qsl,Ist Class Interpreter in a Modern Foreign Language,MILITARY QUALIFICATIONS
122 MM HE D30,HE D30 Reduced Charge,TABLE II – FIELD ARTILLERY AMMUNITION
122 MM HE D30 ERFB/BB F/CHG * FUZ,Full Charge Fuze No*,TABLE II – FIELD ARTILLERY AMMUNITION
122 MM HE D30 F/CHG * FUZ,HE D30 Full Charge Fuze No*,TABLE II – FIELD ARTILLERY AMMUNITION
122 MM ILL D30,Illuminating D30 Reduced,TABLE II – FIELD ARTILLERY AMMUNITION
155 MM BB DP-ICM,"Projectile 155 MM BB DP- ICM, K 310",TABLE II – FIELD ARTILLERY AMMUNITION
155 MM HE ERFB/HB,With Fuze* Charge,TABLE II – FIELD ARTILLERY AMMUNITION
17 PR APCBC,APCBC,TABLE I – TANK AND ANTI-TANK AMMUNITION
17 PR CLEARING,Clearing,TABLE I – TANK AND ANTI-TANK AMMUNITION
17 PR HE RED*,HE/T Reduced Charge Fuze,TABLE I – TANK AND ANTI-TANK AMMUNITION
17 PR HE* FUZ,HE/T Fuze No*,TABLE I – TANK AND ANTI-TANK AMMUNITION
17 PR RED PRAC,Reduced charge practice,TABLE I – TANK AND ANTI-TANK AMMUNITION
2 BT WP LR,Smoke WP Long Range,TABLE IV – MORTAR AMMUNITION
2 BT WP SR,Smoke WP Short Range,TABLE IV – MORTAR AMMUNITION
2 Lt,Second Lieutenant,RANKS
2 MOR HE* FUZ,HE Fuze No*,TABLE IV – MORTAR AMMUNITION
2 MOR ILL,Illuminating with Parachute,TABLE IV – MORTAR AMMUNITION
2 MOR MULTI GREEN,Multi Star Green,TABLE IV – MORTAR AMMUNITION
2 MOR MULTI RED,Multi Star Red,TABLE IV – MORTAR AMMUNITION
2 MOR MULTI RED- GREEN,Multi Star Red and Green,TABLE IV – MORTAR AMMUNITION
2 MOR SIG GREEN,Single Star Green,TABLE IV – MORTAR AMMUNITION
2 MOR SIG RED,Single Star Red,TABLE IV – MORTAR AMMUNITION
2 MOR SMK,Smoke,TABLE IV – MORTAR AMMUNITION
2 PR AP FUZ,AP Shell Fuze No*,TABLE I – TANK AND ANTI-TANK AMMUNITION
2 PR HE * FUZ,HE Shell Fuze No*,TABLE I – TANK AND ANTI-TANK AMMUNITION
2 PR HVHE* FUZ,HV HE/T Shell No*,TABLE I – TANK AND ANTI-TANK AMMUNITION
26 MM ILL,Flares Illuminating 26 MM,TABLE V – PYROTECHNICS
26 MM SIG GREEN,Flares Signal Green 26 MM,TABLE V – PYROTECHNICS
26 MM SIG RED,Flares Signal Red 26 MM,TABLE V – PYROTECHNICS
2IC,Second-in-Command,APPOINTMENTS (LESS THOSE COVERED IN HIGHER DEF ORG)
3 MOR HE* FUZ,HE Fuze No*,TABLE IV – MORTAR AMMUNITION
3 MOR SMK BE,Green,TABLE IV – MORTAR AMMUNITION
3 MOR SMK BE *,Green,TABLE IV – MORTAR AMMUNITION
3 MOR SMK BE* FUZ,Smoke BE Fuze No* Smoke BE Blue,TABLE IV – MORTAR AMMUNITION
3 MOR SMK CSAM* FUZ,Smoke CSAM Fuze No*,TABLE IV – MORTAR AMMUNITION
3 MOR SMK FM* FUZ,Smoke FM Fuze No*,TABLE IV – MORTAR AMMUNITION
3 MOR WP* FUZ,Smoke WP Fuze No*,TABLE IV – MORTAR AMMUNITION
